id,start (sec),end (sec),description,length
WT405,0.0,6.4,person began watching the laptop.,30.54
WT405,0.0,6.4,person begin watching a show on a laptop.,30.54
WT405,10.4,22.6,person put the glass in the refrigerator.,30.54
WT405,6.1,16.7,a person pours a glass of water that they.,30.54
ZFQNZ,14.0,23.1,a person cooking in their kitchen opens their refrigerator.,28.29
ZFQNZ,1.5,7.8,a person opens the refrigerator.,28.29
ZFQNZ,14.0,23.1,person start cooking on the stove.,28.29
ZFQNZ,14.0,23.1,person begin cooking some food at a stove.,28.29
ZFQNZ,9.9,15.3,person take out some food.,28.29
C7P86,0.0,13.1,a person undresses.,30.92
99596,35.1,42.4,person stand up.,44.33
99596,28.2,39.5,person begin dressing.,44.33
99596,14.6,30.4,a person is awakening under a blanket.,44.33
GBDJX,15.5,24.0,person eats some.,22.58
GBDJX,8.8,14.8,person closing the cabinet.,22.58
GBDJX,15.5,24.0,the person eats the food.,22.58
GBDJX,0.0,4.9,a person opens a closet.,22.58
GPR89,19.0,44.8,a person takes a stack of papers off a table.,59.0
XSY2P,18.4,26.5,person puts his laptop in a bag.,31.58
UFNPU,1.9,7.3,a person opens the door to the laundry room.,28.62
UFNPU,4.2,11.8,person closing the door behind them.,28.62
2XG25,0.0,4.9,a person awakens in their bedroom.they look in a mirror.,30.54
Y0CA0,15.6,22.3,the person appears to be cooking something.,30.88
Y0CA0,15.6,22.3,a person is cooking on a stove.,30.88
Y0CA0,6.5,12.4,person closing cabinets.,30.88
Y0CA0,6.5,12.4,a person is closing the cabinet.,30.88
KRLT7,10.6,22.8,person take a picture of the clothes.,24.83
KRLT7,4.7,12.5,a person is throwing clothes on the floor.,24.83
FEKJQ,1.3,14.8,a person is sneezing.,29.62
EHCUE,10.5,26.6,a person is sitting in a chair at a desk.,33.42
02CYP,0.0,15.7,a person is sitting on a couch watching television.,31.79
CICFF,0.0,6.4,person someone walks through a doorway.,46.0
CICFF,5.6,15.8,person they take a picture with their phone.,46.0
CICFF,5.6,15.8,person takes a phone from the table.,46.0
WIPMO,38.4,43.0,the person closes the book.,42.0
Y49WR,15.4,23.0,person takes a picture.,24.0
Y49WR,15.4,23.0,person getting dressed takes a picture in mirror.,24.0
MJZJM,4.8,10.5,a person turns on the light.,30.21
17RPG,0.0,9.9,a person is standing in a hallway smiling.,32.38
17RPG,27.7,33.0,person eating the sandwich they are holding.,32.38
17RPG,26.7,33.0,person watch themselves eat.,32.38
17RPG,26.7,33.0,person they take off their sweater.,32.38
17RPG,27.7,33.0,person eating a sandwich.,32.38
CZPFO,26.1,36.6,person closes the door.,39.54
CZPFO,26.1,36.6,a person opens up a closet door.,39.54
YVOM4,9.1,18.3,person runs back out.,28.04
YVOM4,9.1,18.3,another person run in.,28.04
DLQIT,25.6,35.5,person briefly looked at a book.,38.25
DLQIT,7.0,12.9,person sits on a chair.,38.25
DLQIT,12.4,18.3,person poured water into a glass took a drink.,38.25
DLQIT,12.4,18.3,person they start pouring themselves a glass of water.,38.25
MNJWH,1.8,12.1,person holding a book.,30.42
MNJWH,0.0,13.8,person holds a pillow.,30.42
SPDF6,19.9,25.9,person they stand up.,30.0
SPDF6,0.6,13.9,a person is throwing clothes into a bag.,30.0
TGUKM,8.0,16.5,pick it up .the person takes a flash light out.,32.04
TGUKM,8.0,16.5,person examining it with a light.,32.04
52WDV,4.7,14.9,a person is dressing in a walk-in closet.,38.0
52WDV,12.5,21.0,person watching their reflection in a mirror.,38.0
5DYQR,4.3,9.8,a person opens a cabinet.,17.33
W6TFQ,19.6,33.0,person the they sneeze as they open the door.,32.17
W6TFQ,19.6,33.0,person opens the doorway.,32.17
Y2TNP,0.3,6.1,person turns on the light.,30.42
Y2TNP,0.3,6.1,person turns on a light.,30.42
Y2TNP,0.3,6.1,person leaving a light on in the entryway.,30.42
ZATTZ,0.0,8.7,a person is holding some dishes.,33.46
ZATTZ,19.2,34.0,person begins cooking at the stove.,33.46
VXF18,2.2,7.4,person a glass sits down on a couch.,46.54
VXF18,35.3,43.7,person starts drinking from a cup.,46.54
VXF18,2.2,7.4,the person sits down on the couch.,46.54
VXF18,8.7,15.0,the person eats some of the food.,46.54
VXF18,35.3,43.7,the person is holding a drink cup.,46.54
VXF18,8.7,15.0,a person is eating food from a table.,46.54
IHGNV,4.4,18.2,the person opens the bag.,29.79
IHGNV,0.0,8.3,a person is holding a bag.,29.79
3MLVF,0.0,14.6,a person is cooking food on the stove.,30.62
3MLVF,28.7,32.0,person drinks from the coke bottle.,30.62
3MLVF,0.0,14.6,a person is cooking with a pot on the stove.,30.62
3MLVF,11.5,16.6,person they open the refrigerator.,30.62
3MLVF,11.5,16.6,person the open the refrigerator remove a soda.,30.62
3MLVF,0.0,14.6,a person is cooking on a stove.,30.62
UNGPY,14.6,20.2,person closes the door.,30.46
5ZRFL,6.7,12.6,a person opens their bedroom window.,30.54
5ZRFL,28.6,32.0,person takes a camera from their nightstand.,30.54
SUYMQ,0.0,17.3,person holding a pair of shoes.,36.0
SUYMQ,0.0,17.3,person holding shoes in their hands.,36.0
SUYMQ,9.7,17.1,person stand up.,36.0
SUYMQ,9.7,17.1,person they begin to stand up.,36.0
XIYIK,13.3,20.5,person opens a box.,29.96
XIYIK,13.9,23.8,person takes a towel from a box.,29.96
E1TUD,11.1,21.2,a person is dressing.,25.38
E1TUD,11.1,21.2,person begins dressing again.,25.38
E1TUD,0.0,5.6,a person is undressing in the bathroom.,25.38
BVX8X,20.3,26.7,person goes to open the refrigerator for something.,30.25
5OMSL,26.1,31.9,person they take a box.,35.92
5OMSL,26.1,31.9,person take a box off the shelf.,35.92
U6QKX,8.2,14.6,person putting it on a shelf.,14.29
1N1UT,24.3,30.7,person eating a sandwich closes a door.,29.71
MS3E8,0.0,6.4,person starts putting groceries away from a box.,30.12
MS3E8,0.0,7.0,person carrying a holding a box.,30.12
9JIOI,7.1,14.1,person takes it to the stove to cook.,16.42
9JIOI,13.2,17.0,person closes the refrigerator door.,16.42
9JIOI,13.2,17.0,a person walks to the refrigerator to close the door.,16.42
9JIOI,7.1,14.1,another person is cooking on the stove near the sink.,16.42
YPZQ2,9.3,15.5,person takes a bag.,26.33
1WAOU,0.0,4.6,a person is walking around drinking out of a glass.,31.83
T03KF,21.6,32.0,person begin eating it.,31.08
T03KF,21.6,32.0,person eating some food.,31.08
T03KF,10.6,14.9,person takes clothes out of a cabinet.,31.08
T03KF,10.6,19.6,person throwing clothes on the floor.,31.08
T03KF,10.6,19.6,person throws them on the floor.,31.08
T03KF,21.6,32.0,person eats food.,31.08
UDRZ6,5.0,15.0,a person is laughing on the stairs.,31.04
R0OLR,0.0,9.3,person takes towel off.,30.46
R0OLR,15.7,24.9,person throws the blanket on a table.,30.46
R0OLR,11.4,19.4,person stops & starts sneezing.,30.46
R0OLR,19.7,26.9,a person is running down the hallway holding a blanket.,30.46
R0OLR,19.7,26.9,a person wrapped in a blanket runs into the room.,30.46
W8H3C,0.0,3.1,a person is holding a pillow.,30.0
CN43X,1.0,10.4,a person takes a pillow.,33.67
O8N4M,7.6,17.8,a person awakens on the couch in the living room.,31.0
V70F7,3.8,12.1,a person is fixing his hair.,31.79
V70F7,17.9,25.6,person closes the door.,31.79
47Y1X,0.0,4.0,a person eating food in pantry smiling at the camera.,33.42
9NWSD,24.0,29.0,person puts the box on top of the dresser.,27.88
SDXZ8,33.5,38.8,person they take a vacuum.,51.42
SDXZ8,20.4,27.2,person they put the dish away.,51.42
SDXZ8,8.3,24.7,the person washes the dishes.,51.42
SDXZ8,8.3,24.7,a person washes some dishes in a sink.,51.42
4ZN66,26.5,33.2,person takes out their phone.,32.79
4ZN66,26.5,33.2,person takes a phone out their pocket.,32.79
V149B,21.3,32.0,person washing windows with a cloth.,31.5
V149B,21.3,32.0,person washing a window in an entryway.,31.5
UL7YC,11.9,17.4,person takes a glass of soda.,30.42
5TG2E,1.3,9.7,person after putting on shoes from a chair.,34.25
5TG2E,1.3,9.7,that person puts on their tennis shoes.,34.25
AYMCZ,4.4,13.5,a person is putting a pillow into a washer.,29.46
AYMCZ,17.8,30.0,person working on the laptop.,29.46
AYMCZ,18.7,25.2,person opening a laptop.,29.46
AYMCZ,18.7,25.2,person finally opening a laptop in a laundry room.,29.46
FN0F8,31.3,36.8,person putting the piece of paper away.,38.62
SBW7O,0.0,12.5,a person looks out a window.,31.29
SBW7O,27.1,32.0,person opens the door.,31.29
SBW7O,27.1,32.0,the person opens the door.,31.29
KZ746,3.2,8.2,a person is sitting in a chair.,18.79
XF41L,2.2,9.3,person opening a closet door.,38.58
XF41L,2.2,9.3,a person opened a closet.,38.58
XF41L,16.3,23.6,person takes off their shoes.,38.58
XF41L,21.4,30.8,person holding a phone.,38.58
XF41L,16.3,23.6,person takes off shoes.,38.58
XF41L,15.0,20.1,person puts the phone on a table.,38.58
NHD1J,14.7,21.4,person opens a laptop.,29.75
NHD1J,14.7,21.4,person opens laptop.,29.75
NHD1J,10.2,20.7,a person is undressing.,29.75
NHD1J,14.7,21.4,person opens up laptop.,29.75
NHD1J,4.0,14.2,person watching television.,29.75
Z5FNI,18.3,26.1,person closing the door.,27.79
Z5FNI,12.5,19.0,person turning off the light.,27.79
Z5FNI,15.1,22.7,person opens a door.,27.79
OB1XO,19.7,31.4,the person puts on their shoes.,36.96
99WON,5.3,11.8,person sits in a chair at the top.,27.58
99WON,0.0,8.6,a person runs up the stairs.,27.58
99WON,0.0,8.6,a person runs up a flight of stairs.,27.58
WVB7F,27.8,33.3,person takes some medicine.,33.38
WVB7F,2.5,18.1,person takes a blanket.,33.38
WVB7F,27.8,33.3,person takes a bottle of medicine.,33.38
WVB7F,0.0,7.5,a person is sneezing.,33.38
0TIHC,0.0,8.3,person throws their clothes onto the floor.,30.92
0TIHC,0.0,8.3,person throws clothes on the floor.,30.92
0TIHC,0.0,9.3,a person undresses.,30.92
0TIHC,22.0,27.7,a person takes a water bottle.,30.92
NJ0X1,17.5,24.0,person sits in a chair.,23.46
G537E,13.3,22.6,person sneezing on a glass.,39.12
G537E,23.9,40.0,person finally putting away groceries in a pantry.,39.12
BPH56,0.0,13.4,laughing as the person collects the dishes.,39.79
BPH56,20.1,29.1,person turns the light on.,39.79
BPH56,20.1,29.1,person turn on the light.,39.79
YU9BS,34.9,39.7,person turns the light off.,47.58
YU9BS,34.9,39.7,person turns off the light.,47.58
YU9BS,22.3,30.6,the person looks out the window.,47.58
YU9BS,22.3,30.6,person looks out the window.,47.58
VOU8V,0.0,10.9,person drinking a glass of water.,28.08
WXUZK,0.0,14.7,person a walks into the bedroom undressing.,29.71
75MO8,11.3,25.7,person drinking a glass of water.,29.71
75MO8,0.0,8.9,a person runs into the recreation room.,29.71
75MO8,0.0,8.9,a person runs over to a table.,29.71
KAFV7,10.9,15.2,person takes a picture of something.,29.96
KAFV7,23.1,28.4,the person puts their phone away.,29.96
KAFV7,10.9,15.2,a person takes a picture with their phone.,29.96
KAFV7,26.8,31.0,person lies down on the sofa.,29.96
XUV0Y,14.2,20.4,person eating it.,24.29
XUV0Y,14.2,20.4,person eating in a living room.,24.29
F99PM,25.1,30.4,person open the cabinet.,30.71
1D2OX,6.7,14.1,a person is putting shoes on a shelf.,30.83
8BBX0,12.3,19.3,person opening the door.,25.75
3VM0R,20.7,27.6,another person is putting a bag down on a desk.,30.58
3VM0R,4.9,18.9,a person is snuggling with a pillow on a chair.,30.58
5BTFZ,17.3,30.7,another person is standing by a window sneezing.,31.38
5BTFZ,17.3,30.7,another person is sneezing by the window.,31.38
5BTFZ,17.5,32.0,another person is looking out a window.,31.38
OKYYQ,2.5,8.5,one person closes a book.,27.12
OKYYQ,24.4,28.0,person closing the cabinet door.,27.12
OKYYQ,0.0,12.6,a person reads a book.,27.12
5YA6D,2.7,12.8,person closing the front door.,31.21
5YA6D,14.0,23.2,person they take off their shoes.,31.21
5YA6D,14.0,23.2,person takes off their shoes.,31.21
5YA6D,2.7,12.8,person closes a door.,31.21
5NK4L,27.3,35.0,a person is tidying up the things in the cabinet.,33.58
Q01UB,24.9,32.4,the person puts some shoes next to an open laptop.,32.92
Q01UB,0.0,14.5,a person is dressing by putting on a jacket.,32.92
YQOPM,4.8,18.1,a person throws some clothes into a box.,46.54
OAC4U,7.8,12.5,person throw the towel on the floor.,43.54
5HOAV,14.6,20.1,person putting the camera on the shelf.,26.17
G8O8P,2.3,8.9,a person is closing a door.,34.54
G8O8P,2.3,8.9,person closes the door.,34.54
G8O8P,5.1,11.3,person opens the door.,34.54
AJRIJ,0.0,10.9,a person snuggling with a pillow begins watching the doorway.,31.75
TVQO9,2.3,9.0,person drinking cup of coffee.,30.58
TVQO9,2.3,9.0,the person drinks from the cup.,30.58
OSCS2,0.0,12.7,a person is laying in bed  holding a pillow.,35.58
OSCS2,30.8,37.0,person look out a window.,35.58
OSCS2,31.7,37.0,the person awoke from bed holding a blanket.,35.58
OSCS2,30.8,37.0,person moved to the window to look outside.,35.58
OSCS2,0.0,13.1,a person awakens in bed.,35.58
F08QY,0.0,3.6,one person opens up a bag.,12.92
XKLW2,8.2,13.7,another person walks through the nearest doorway.,28.75
5BQMX,7.2,11.9,a person is turning off a light.,22.33
5BQMX,15.2,23.0,person opening the door.,22.33
5BQMX,3.2,8.1,a person is throwing a sofa pillow onto a sofa.,22.33
HDP39,0.0,13.0,a person wearing a towel drinks water from a bottle.,34.08
HDP39,0.0,13.0,a shirtless person drinks out of a bottle.,34.08
ZEC1D,16.8,26.8,person takes a box out.,31.54
ZEC1D,16.8,26.8,person takes a picture of the box.,31.54
DP8U3,5.5,11.3,person snuggling a blanket.,25.38
CDT32,14.4,21.8,person throws it on the floor.,31.58
HGSB7,13.4,20.2,person takes their laptop.,31.33
HGSB7,23.0,32.0,person sitting in the chair.,31.33
WGUW8,0.1,15.5,a person undresses in front of a mirror.,32.38
WGUW8,12.3,27.4,person puts the clothes in a bag.,32.38
WGUW8,0.1,15.5,a person is getting undressed in front of a mirror.,32.38
Z9WWJ,0.0,6.9,person holding a broom.,24.08
Z9WWJ,3.3,7.4,the person throws the broom into a corner.,24.08
Z9WWJ,0.0,7.5,a person runs into the basement.,24.08
Z9WWJ,0.0,6.9,a person runs down the stairs holding a broom.,24.08
CJHFD,0.0,5.9,a person holding a sandwich opens.,32.42
CJHFD,18.6,29.1,person starts sneezing.,32.42
HHEIV,11.6,24.5,person smiling on the sofa.,31.17
HHEIV,11.6,24.5,the person is smiling.,31.17
UCX0K,0.0,8.3,a person is sneezing on a picture.,33.88
COPHL,9.3,14.2,person opened a book.,30.17
COPHL,9.3,14.2,person opens book.,30.17
COPHL,2.8,12.7,person is awakening from falling asleep behind desk.,30.17
COPHL,9.3,14.2,person they open up a book on the table.,30.17
F0PNU,8.0,16.1,person starts sneezing.,18.29
9C4JX,0.0,9.4,person holding a bag full of items.,34.5
BNEQL,0.0,20.0,a person is dressing in the laundry room.,50.67
BNEQL,14.3,26.7,person takes a drink from a cup.,50.67
BNEQL,14.3,26.7,person picking up the coffee cup to take a drink.,50.67
LF49A,9.6,16.4,a person is opening a bag in the closet.,26.33
I7MEA,4.9,9.6,person takes out a box.,25.5
I7MEA,0.0,5.8,person continues cooking.,25.5
I7MEA,2.2,7.3,person opens the refrigerator.,25.5
0IFCL,0.0,5.1,a person closes the door.,39.04
0IFCL,0.0,5.1,a person closes a door.,39.04
0IFCL,32.3,38.9,the person opens the door.,39.04
NUMAW,23.0,28.4,a person is smiling.,30.5
NUMAW,1.7,12.2,another person is sneezing.,30.5
FI2TP,13.0,23.7,person they begin to have rampant sneezing.,31.58
EBTD6,14.2,26.2,person eats a sandwich.,31.92
EBTD6,2.5,9.5,person opening a door.,31.92
EBTD6,14.2,26.2,person eating a sandwich.,31.92
EBTD6,2.5,9.5,"person opend the door,sneezed.",31.92
EBTD6,21.7,31.9,a person is running in place.,31.92
EBTD6,2.5,9.5,a person is sneezing as they open a door.,31.92
EBTD6,2.5,9.4,a person is sneezing.,31.92
4N06O,21.3,26.3,person throws a book through a doorway.,28.5
4N06O,4.0,12.2,a person awakens.,28.5
4N06O,8.1,20.7,person begins to look at a book.,28.5
4N06O,21.3,26.3,person throws a book.,28.5
4N06O,4.0,12.2,a person awakens in a bathroom.,28.5
BT8WU,26.2,32.0,person begin eating.,31.33
BT8WU,26.2,32.0,person eat something.,31.33
K8RW9,12.6,19.5,another person turns on a light.,21.92
K8RW9,12.6,19.5,person turning on the light.,21.92
MUE7H,6.6,21.0,person put on their shoes.,50.5
MUE7H,0.0,8.1,a person is awakening.,50.5
MUE7H,6.6,21.0,person putting on shoes.,50.5
MUE7H,0.0,8.3,a person awakens on a bed.,50.5
MUE7H,16.7,23.5,person stand up.,50.5
MUE7H,22.8,43.0,person begin tidying the floor with it.,50.5
21MI8,0.0,6.5,person drinking from a cup.,31.25
21MI8,3.9,10.1,a person is opening a laptop.,31.25
21MI8,7.7,13.4,person putting a glass down on a table.,31.25
BQ07S,0.0,15.3,a person is pouring water in a glass.,40.12
QRSP8,15.1,19.6,person turn off the light.,28.62
QRSP8,15.1,19.6,person turns off the light.,28.62
1R9XW,1.2,9.6,person closes a closet door.,33.71
MXBFE,1.8,13.7,person they look at a picture.,31.25
IFFPZ,2.0,8.2,a person awakens in a bedroom.,24.17
XOMJ4,19.5,30.0,person sits in a chair.,28.79
XOMJ4,19.5,30.0,finally the person sits down in the chair.,28.79
FNM5E,7.1,12.1,starts laughing .the person turns.,16.25
FNM5E,10.6,14.7,person opens the door.,16.25
FNM5E,10.6,14.7,person open the door.,16.25
FNM5E,7.1,12.1,person they begin laughing.,16.25
H9V9I,0.0,3.5,a  person is standing holding an open laptop.,33.5
H9V9I,0.7,12.7,a person puts their laptop onto a desk.,33.5
OUAIS,23.1,29.0,person throws the pillow.,37.42
OUAIS,23.1,29.0,person throws a pillow across the floor.,37.42
OUAIS,31.2,36.7,person opening the door.,37.42
OUAIS,11.9,26.4,person start dressing by putting on a sweater.,37.42
OUAIS,0.0,13.2,this person is laying on the floor.,37.42
5AE54,17.1,28.0,another person is tidying the table.,30.83
5AE54,8.4,16.6,lies on the bed when a second person walks in.,30.83
5AE54,0.0,8.5,a person is running to the phone.,30.83
FBHBP,1.9,7.3,person sits on couch.,22.42
FBHBP,1.9,7.3,a person sits on the sofa.,22.42
FBHBP,9.5,14.7,person eats some food.,22.42
FBHBP,9.5,14.7,person eats the food.,22.42
B8PQL,0.7,5.9,the person puts the towel on the table.,24.62
K47J5,6.3,14.2,a person in a home office takes of their shoes.,28.21
K47J5,6.3,14.2,person takes off their shoes.,28.21
CII5H,17.5,23.9,person opens a closet door.,24.29
CII5H,17.5,23.9,person with a blanket in hand open closet door.,24.29
CII5H,11.0,19.8,person put clothing on the shelf.,24.29
CII5H,17.5,23.9,person closes the door.,24.29
CPFLM,7.7,14.3,the person starts throwing clothes onto a chair.,22.04
CPFLM,0.0,9.9,a person is sneezing into a pillow.,22.04
GA4DZ,1.0,7.5,a person is awakening near a light.,33.12
6KI0S,9.0,27.0,person snuggling with a pillow.,36.67
6KI0S,0.0,3.0,a person awakening.,36.67
HOIKF,16.8,32.0,another person is working on a laptop.,30.75
HOIKF,16.8,32.0,another person is playing with a laptop.,30.75
GL38X,9.0,19.8,another person is watching a picture on the wall.,31.46
JTXUA,27.6,37.0,person sitting down on a sofa.,56.42
JTXUA,5.3,13.3,person closes a door.,56.42
JTXUA,27.6,37.0,the person sits on a couch.,56.42
JTXUA,16.4,29.7,person look out the window.,56.42
JTXUA,27.6,37.0,person sits on the sofa.,56.42
JTXUA,33.6,54.2,person fixes light bulb.,56.42
JTXUA,1.7,8.8,a person opens a door.,56.42
JTXUA,1.7,8.8,person opens the door.,56.42
JTXUA,33.6,54.2,person fixing a light.,56.42
CPDH9,5.9,12.1,the person puts the glass on the shelf.,27.62
7L0TN,0.0,6.1,a person opens a door.,31.54
XEGTL,22.6,28.9,person laughs into a mirror.,30.46
QDZ38,2.4,9.2,a person runs into a bathroom.,23.88
QDZ38,2.4,9.2,a person runs into the room.,23.88
QDZ38,9.8,15.6,person washes the mirror with a towel.,23.88
QDZ38,2.4,9.2,one person runs into the bathroom.,23.88
QDZ38,9.8,15.6,person starts washing the mirror.,23.88
ZIWZH,0.0,5.2,person close the box.,33.83
ZIWZH,1.6,13.5,a person is sitting on a chair opening a box.,33.83
9JZO3,16.7,30.0,awakening the person snuggling with the pillow.,29.25
X1KKZ,8.7,15.2,a person throws a pillow onto the sofa.,41.88
X1KKZ,0.0,17.7,person runs to the window.,41.88
DUNVR,27.0,32.0,person they run out of the room with the pantry.,30.96
DUNVR,25.1,31.4,the first person closes the door.,30.96
DUNVR,27.0,32.0,person both run away.,30.96
CO3LU,31.5,38.0,person walks over to the light switch.,37.0
CO3LU,31.5,38.0,person turns off the light.,37.0
X8KIS,0.0,6.8,a person walks through a doorway.,29.83
Q24KP,9.8,17.1,person puts a towel away.,30.71
Q24KP,10.5,18.1,one person puts a blanket on a table.,30.71
SW64W,6.4,13.9,person is opening a laptop.,30.54
SW64W,6.4,13.9,person opening up their laptop.,30.54
SW64W,0.0,14.4,a person is sitting at a table.,30.54
SW64W,6.4,13.9,person open their laptop.,30.54
JGYF6,1.4,8.0,a person is lying on the sofa sneezing.,18.08
JGYF6,11.5,19.0,person talking on the phone.,18.08
NSDFA,20.6,29.2,person they put the box down.,35.08
NSDFA,25.7,36.0,person take a picture.,35.08
CM5SK,0.0,5.1,a person opens the refrigerator.,23.46
CM5SK,9.4,17.5,person goes to start reading a book.,23.46
CM5SK,9.4,17.5,person begins reading a book.,23.46
VMRAV,7.5,17.6,person turns on light grabs a napkin.,38.54
VMRAV,7.5,17.6,person turns on the light.,38.54
34J80,19.3,28.0,the person begins putting food into the cabinet.,30.25
UY7BK,18.1,29.3,person looking out the window.,31.17
3VWR9,10.7,16.9,person close the door.,30.79
3VWR9,10.7,16.9,person closes the door.,30.79
WV8SY,13.1,19.0,a person opens a door.,22.0
WV8SY,12.8,20.0,person running into the house.,22.0
WV8SY,16.8,23.0,person takes off their shoes.,22.0
3AE3T,4.8,19.5,a second person sits on a sofa.,29.33
43UGG,4.1,11.8,a person is lying on the carpet eating a sandwich.,53.04
43UGG,43.4,54.0,person puts on their shoes.,53.04
43UGG,4.1,11.8,a person is eating a sandwich on the floor.,53.04
4C5S6,19.5,26.4,person open the refrigerator door.,34.46
4C5S6,19.5,26.4,person the open the refrigerator.,34.46
FTETB,8.9,13.7,person they put the box down.,29.88
FTETB,0.2,11.6,person they take something out of the box.,29.88
FTETB,0.2,11.6,a person takes food out of a box.,29.88
77UTO,25.2,33.0,person washes a window with a towel.,31.79
77UTO,0.0,10.8,a person is pouring a cup of coffee.,31.79
77UTO,0.0,10.8,a person pours a drink from one cup to another.,31.79
BEC09,15.8,27.0,a person in a kitchen is cooking food.,26.21
BEC09,10.9,19.8,person opening a box.,26.21
BEC09,10.9,19.8,person opens a box on the counter.,26.21
COM6M,15.3,23.0,person closed the refrigerator.,23.71
COM6M,15.3,23.0,person closing the refrigerator.,23.71
6RQHP,23.5,33.3,person sits in a chair.,37.42
6RQHP,3.1,11.9,a person is cooking at a stove in a kitchen.,37.42
6RQHP,3.1,11.9,a person is cooking on the stove.,37.42
6RQHP,13.4,21.1,person washes some dishes.,37.42
I6IPP,21.1,29.0,the person takes a drink from a glass of water.,29.0
P36YW,14.6,28.0,person are seen drinking a cup of coffee.,27.21
P36YW,14.2,19.7,person they put the pillow down on the table.,27.21
P36YW,7.5,20.3,person holding a pillow.,27.21
9JIHR,13.2,20.6,person kicking a door they stand up.,24.88
AMLI4,18.5,26.4,person they pour a glass of water into a dish.,30.58
AMLI4,18.5,26.4,person pour some water from a bottle into a cup.,30.58
MRXEW,19.5,27.2,person puts the box down.,35.42
DICXG,0.0,11.8,a person enters their house holding their laptop.,30.96
DICXG,17.9,25.6,person looks at the picture.,30.96
DICXG,0.0,11.8,a person walks through a door way holding a laptop.,30.96
P87UK,12.2,22.3,person put food in a chair.,22.79
8CQ9Y,27.3,31.0,person puts the phone on the table.,30.21
8CQ9Y,1.5,7.3,a person is sneezing in the bed.,30.21
VA7IT,14.5,22.0,person throws the pillow.,30.75
VA7IT,14.5,22.0,person throws the pillow down.,30.75
7LYA9,10.3,15.0,person throws it on the floor.,38.88
7LYA9,10.3,15.0,person smiling as they throw a pillow on the floor.,38.88
7LYA9,9.7,22.2,a person is laughing.,38.88
I5KUM,0.0,7.3,person one is holding some medicine.,16.62
2J2EW,4.1,20.7,person open a bag of groceries.,34.92
22FJU,1.1,14.6,a person walks into the laundry room holding a picture.,30.67
22FJU,1.1,14.6,a person walks into the room holding a picture.,30.67
22FJU,6.4,11.1,person they turn on the light.,30.67
22FJU,6.4,11.1,person turns on a light.,30.67
RXRAS,0.0,14.3,a person is tidying up a table.,31.58
4ZWLA,16.6,23.2,another person is sneezing on a vacuum.,29.17
0XV7B,1.2,9.0,a person opens a door.,35.88
J5TTU,19.1,30.4,the person washes their hands.,32.96
G6LYD,9.4,14.1,a person is throwing clothes on the floor.,30.67
G6LYD,9.4,14.1,person they throw their clothes on the floor.,30.67
ENDIE,0.4,10.9,a person puts down a bag of groceries.,32.25
ENDIE,5.9,16.7,person drinks from a glass.,32.25
KUBPN,2.3,9.4,person eating sandwich.,30.62
KO34N,6.8,11.9,person puts the phone on the chair.,30.79
S1XW9,25.9,33.9,person closes the door.,33.38
S1XW9,25.9,33.9,person closing the doorknob.,33.38
S1XW9,0.0,3.2,one person walks through the doorway.,33.38
S1XW9,22.7,29.2,person he closes the book.,33.38
OZ5SV,2.7,8.5,the person puts the book down.,19.96
RLA7N,5.0,13.5,person watching a cooking show on television.,37.79
RLA7N,26.4,39.0,person started washing dishes.,37.79
RLA7N,5.0,13.5,the person was cooking dinner.,37.79
5LETG,16.6,23.5,person turns the light on.,29.21
5LETG,16.6,23.5,the person turns on a light.,29.21
JUF24,18.4,26.9,the person takes food out of a bag.,37.08
NGWRE,0.0,9.2,person holding a cup.,35.58
NGWRE,0.0,14.7,a person is playing with their phone in the basement.,35.58
HZXXN,5.5,11.1,person opens a cabinet.,30.42
HZXXN,5.5,11.1,person opens cabinet.,30.42
HZXXN,2.1,8.8,the person was sneezing.,30.42
7L4DW,0.0,3.6,a person takes a bag.,31.29
7L4DW,4.4,17.7,a person undressing in a basement opens a bag.,31.29
KCEJF,7.9,22.0,person looking in a window.,30.96
KCEJF,1.1,9.3,a person is walking up the stairs eating a sandwich.,30.96
KCEJF,7.9,22.0,the person watches something out a window.,30.96
WCKTP,3.0,9.5,a man putting something on a shelf.,32.0
KNDY2,6.4,16.3,another person is using a camera to take pictures.,21.42
KNDY2,6.4,16.3,person uses a camera to take pictures of the other.,21.42
2JTRG,15.0,25.1,person laughing as they eat a sandwich.,31.79
Q1L24,0.0,11.4,a person is cooking at the stove.,27.42
1KOZ4,1.5,20.6,a person dresses in front of a mirror.,43.25
Z6U1X,0.0,11.4,person holding a broom.,31.88
AMIHY,18.4,29.5,person takes it with a glass of water.,29.38
AMIHY,0.0,13.8,person eating a sandwich.,29.38
J95X1,0.0,7.2,a person awakens.,45.21
J95X1,15.7,22.9,person opens their laptop.,45.21
2OY8R,4.4,16.9,person they play a game on the laptop.,30.71
2OY8R,2.0,7.2,person eating a sandwich.,30.71
SX07Q,43.1,49.0,person puts the blanket down.,48.25
SX07Q,5.5,24.2,the person is opening a box.,48.25
ZAO65,1.4,7.2,a person opens a door.,26.75
ZAO65,7.9,13.8,person walks into a garage eating a cookie.,26.75
ZAO65,18.7,26.9,person take off their shoes.,26.75
75HWR,24.1,31.6,person holding a sandwich on a plate.,37.0
75HWR,27.1,31.6,another person runs by with a sandwich in their hands.,37.0
FGBXJ,18.4,27.2,person opens a book.,29.96
